"","Mean","3-players","4-players","5-players","10-players"
"1",0.05,1.09765625,1.09765625,1.05859375,1.01953125
"2",0.1,1.234375,1.15625,1.15625,1.1171875
"3",0.15,1.46875,1.33203125,1.29296875,1.15625
"4",0.2,1.625,1.390625,1.29296875,1.234375
"5",0.25,1.859375,1.5078125,1.46875,1.234375
"6",0.3,2.0546875,1.625,1.56640625,1.3125
"7",0.35,2.2109375,1.7421875,1.703125,1.37109375
"8",0.4,2.328125,2.015625,1.78125,1.46875
"9",0.45,2.71875,2.1328125,1.78125,1.5078125
"10",0.5,2.9921875,2.23046875,2.015625,1.625
"11",0.55,3.5,2.484375,2.2109375,1.6640625
"12",0.6,3.734375,2.5625,2.25,1.80078125
"13",0.65,4.125,2.85546875,2.4453125,1.8203125
"14",0.7,4.75,3.2265625,2.6015625,1.9375
"15",0.75,4.4375,3.2265625,2.71875,2.11328125
"16",0.8,5.0625,3.65625,3.03125,2.171875
"17",0.85,5.0625,3.96875,3.1875,2.23046875
"18",0.9,6.15625,4.125,3.32421875,2.46484375
"19",0.95,7.25,4.75,3.578125,2.5625
"20",1,7.07421875,4.984375,3.8515625,2.73828125
