"","Mean","3-players","4-players","5-players","10-players"
"1",0.05,1.17578125,1.09765625,1.078125,1.05859375
"2",0.1,1.33203125,1.234375,1.21484375,1.15625
"3",0.15,1.52734375,1.37109375,1.3125,1.234375
"4",0.2,1.76171875,1.5078125,1.390625,1.3125
"5",0.25,2.03515625,1.72265625,1.5078125,1.4296875
"6",0.3,2.40625,1.8984375,1.6640625,1.52734375
"7",0.35,2.6796875,2.1328125,1.78125,1.6640625
"8",0.4,3.1875,2.40625,2.015625,1.78125
"9",0.45,3.5,2.5625,2.25,1.9375
"10",0.5,3.8125,2.9140625,2.58203125,2.09375
"11",0.55,4.75,3.1875,2.77734375,2.23046875
"12",0.6,5.84375,3.65625,3.03125,2.5625
"13",0.65,5.53125,3.79296875,3.1875,2.71875
"14",0.7,6.9375,4.61328125,3.65625,2.875
"15",0.75,7.875,5.0234375,4.046875,3.1484375
"16",0.8,9.125,5.58984375,4.828125,3.65625
"17",0.85,11.15625,7.40625,4.671875,3.8125
"18",0.9,14.125,8.5,6.01953125,3.96875
"19",0.95,16,8.578125,6.625,4.59375
"20",1,13.5,9.828125,7.5625,5.1796875
