"","Mean 0.5","Mean 1"
"3-players",4.2421875,16
"4-players",2.875,11
"5-players",2.4453125,7.5625
"6-players",2.25,6.46875
"7-players",2.2109375,6.390625
"8-players",2.15234375,6
"9-players",2.0546875,5.453125
"10-players",2.07421875,5.0625
"11-players",2.09375,5.00390625
"12-players",2.03515625,4.75
"13-players",1.9765625,4.80859375
"14-players",1.8984375,4.75
"15-players",1.9765625,4.75
"16-players",1.91796875,4.59375
"17-players",2.015625,4.61328125
"18-players",1.91796875,4.7890625
"19-players",1.9375,4.28125
"20-players",1.87890625,4.59375
"21-players",1.91796875,4.59375
"22-players",1.9375,4.4375
