"","V1","V2","V3"
"1",29.24,41.64,29.12
"2",26.89,36.37,36.74
"3",26.37,32.42,41.21
"4",25.91,30.82,43.27
"5",25.98,29.53,44.49
"6",25.67,28.86,45.47
"7",25.39,28.29,46.32
"8",25.49,28.05,46.47
"9",25.43,27.54,47.03
"10",25.46,27.51,47.03
"11",25.41,27.24,47.35
"12",25.4,26.87,47.73
"13",25.38,26.58,48.05
"14",25.17,26.8,48.03
"15",25.14,26.29,48.57
"16",25.27,26.59,48.13
"17",25.2,26.39,48.41
"18",25.18,26.38,48.44
"19",25.28,26.26,48.46
"20",25.33,26.17,48.5
"21",25.44,26.01,48.54
"22",25.22,26.08,48.7
"23",25.14,26.27,48.59
"24",25.04,25.91,49.06
"25",25.2,26.01,48.8
"26",25.26,26.04,48.71
"27",25.07,25.84,49.08
"28",25.09,25.87,49.05
"29",25.18,25.97,48.86
"30",25.05,25.82,49.12
"31",25.53,25.85,48.62
"32",25.19,25.75,49.06
"33",24.93,25.69,49.39
"34",25.2,25.56,49.23
"35",25.11,25.75,49.14
"36",25.15,25.51,49.34
"37",25.21,25.77,49.02
"38",25.18,25.5,49.32
"39",24.88,25.65,49.47
"40",25.13,25.57,49.3
"41",25.09,25.65,49.27
"42",25.19,25.37,49.44
"43",24.97,25.49,49.54
"44",24.89,25.53,49.59
"45",24.98,25.43,49.59
"46",25.1,25.32,49.58
"47",25.09,25.27,49.64
"48",25.08,25.42,49.5
"49",24.95,25.5,49.55
"50",25.15,25.33,49.52
"51",24.91,25.51,49.58
"52",25.14,25.57,49.29
"53",25.27,25.41,49.32
"54",25.06,25.11,49.83
"55",25.09,25.45,49.46
"56",25.02,25.4,49.58
"57",25.18,25.34,49.48
"58",24.97,25.35,49.68
"59",24.86,25.5,49.65
"60",25.22,25.2,49.58
"61",25.05,25.5,49.45
"62",24.95,25.57,49.48
"63",25.13,25.63,49.24
"64",25.06,25.41,49.54
"65",24.89,25.34,49.77
"66",24.98,25.48,49.54
"67",24.82,25.36,49.82
"68",25.27,25.11,49.62
"69",25.03,25.41,49.56
"70",25.2,25.34,49.46
"71",25.22,25.15,49.62
"72",25.07,25.51,49.42
"73",25.08,25.2,49.71
"74",25.12,25.2,49.68
"75",24.89,25.16,49.95
"76",25.04,25.36,49.6
"77",25,25.28,49.72
"78",25.08,25.38,49.55
"79",25.08,25.26,49.66
"80",25.08,25.4,49.52
"81",25.09,25.09,49.82
"82",24.99,25.29,49.72
"83",25.24,25.12,49.64
"84",25.06,25.11,49.83
"85",25.09,25.4,49.51
"86",25.12,24.91,49.97
"87",25,25.33,49.67
"88",25.13,25.21,49.66
"89",24.99,25.37,49.64
"90",25.18,25.3,49.52
"91",24.91,25.39,49.7
"92",25.05,25.31,49.64
"93",25.11,25.17,49.72
"94",25.09,25.33,49.58
"95",24.77,25.32,49.9
"96",25.06,25.23,49.7
"97",24.83,25.32,49.84
"98",25.19,25.28,49.52
"99",25.23,25.09,49.68
"100",24.85,25.34,49.81
